"player_row_player_name","player_row_player_age","player_row_player_club","player_row_player_market_value","player_row_player_nation"
"Ibrahima Konaté","25","Liverpool FC","€60.00m","France"
"Dani Olmo","26","FC Barcelona","€60.00m","Spain"
"Federico Dimarco","27","Inter Milan","€60.00m","Italy"
"Estêvão","17","Sociedade Esportiva Palmeiras","€55.00m","Brazil"
"Murillo","22","Nottingham Forest","€55.00m","Brazil"
"Leny Yoro","19","Manchester United","€55.00m","France"
"Ethan Nwaneri","18","Arsenal FC","€55.00m","England"
"Kobbie Mainoo","19","Manchester United","€55.00m","England"
"Nicolas Jackson","23","Chelsea FC","€55.00m","Senegal"
"Savinho","21","Manchester City","€55.00m","Brazil"
"Hugo Ekitiké","22","Eintracht Frankfurt","€55.00m","France"
"Gabriel Martinelli","23","Arsenal FC","€55.00m","Brazil"
"Nuno Mendes","22","Paris Saint-Germain","€55.00m","Portugal"
"Levi Colwill","22","Chelsea FC","€55.00m","England"
"Micky van de Ven","23","Tottenham Hotspur","€55.00m","Netherlands"
"Matheus Cunha","25","Wolverhampton Wanderers","€55.00m","Brazil"
"Jérémy Doku","22","Manchester City","€55.00m","Belgium"
"Amadou Onana","23","Aston Villa","€55.00m","Belgium"
"Eberechi Eze","26","Crystal Palace","€55.00m","England"
"Cristian Romero","26","Tottenham Hotspur","€55.00m","Argentina"
"Bruno Fernandes","30","Manchester United","€55.00m","Portugal"
"Mohamed Salah","32","Liverpool FC","€55.00m","Egypt"
"Samu Aghehowa","20","FC Porto","€50.00m","Spain"
"Aleksandar Pavlovic","20","Bayern Munich","€50.00m","Germany"
"Pablo Barrios","21","Atlético de Madrid","€50.00m","Spain"
"Jamie Gittens","20","Borussia Dortmund","€50.00m","England"
"Jarrad Branthwaite","22","Everton FC","€50.00m","England"
"Piero Hincapié","23","Bayer 04 Leverkusen","€50.00m","Ecuador"
"Fermín López","21","FC Barcelona","€50.00m","Spain"
"João Pedro","23","Brighton & Hove Albion","€50.00m","Brazil"
"Castello Lukeba","22","RB Leipzig","€50.00m","France"
"Éderson","25","Atalanta BC","€50.00m","Brazil"
"Álex Baena","23","Villarreal CF","€50.00m","Spain"
"Darwin Núñez","25","Liverpool FC","€50.00m","Uruguay"
"Mohammed Kudus","24","West Ham United","€50.00m","Ghana"
"Bremer","28","Juventus FC","€50.00m","Brazil"
"Morgan Rogers","22","Aston Villa","€50.00m","England"
"Pedro Neto","25","Chelsea FC","€50.00m","Portugal"
"Jeremie Frimpong","24","Bayer 04 Leverkusen","€50.00m","Netherlands"
"Ronald Araujo","26","FC Barcelona","€50.00m","Uruguay"
"Manuel Ugarte","24","Manchester United","€50.00m","Uruguay"
"Brennan Johnson","23","Tottenham Hotspur","€50.00m","Wales"
"Tijjani Reijnders","26","AC Milan","€50.00m","Netherlands"
"Curtis Jones","24","Liverpool FC","€50.00m","England"
"Morgan Gibbs-White","25","Nottingham Forest","€50.00m","England"
"Alphonso Davies","24","Bayern Munich","€50.00m","Canada"
"Jurrien Timber","23","Arsenal FC","€50.00m","Netherlands"
"Bryan Mbeumo","25","Brentford FC","€50.00m","Cameroon"
"Dayot Upamecano","26","Bayern Munich","€50.00m","France"
"Ben White","27","Arsenal FC","€50.00m","England"
"Ollie Watkins","29","Aston Villa","€50.00m","England"
"Christian Pulisic","26","AC Milan","€50.00m","United States"
"James Maddison","28","Tottenham Hotspur","€50.00m","England"
"Marcus Rashford","27","Aston Villa","€50.00m","England"
"Joshua Kimmich","30","Bayern Munich","€50.00m","Germany"
"Geovany Quenda","17","Sporting CP","€45.00m","Portugal"
"Arda Güler","20","Real Madrid","€45.00m","Türkiye"
"Kenan Yıldız","19","Juventus FC","€45.00m","Türkiye"
"Alejandro Garnacho","20","Manchester United","€45.00m","Argentina"
"Willian Pacho","23","Paris Saint-Germain","€45.00m","Ecuador"
"Victor Boniface","24","Bayer 04 Leverkusen","€45.00m","Nigeria"
"Rasmus Højlund","22","Manchester United","€45.00m","Denmark"
"Destiny Udogie","22","Tottenham Hotspur","€45.00m","Italy"
"Mateo Retegui","25","Atalanta BC","€45.00m","Italy"
"Pedro Porro","25","Tottenham Hotspur","€45.00m","Spain"
"Gonçalo Ramos","23","Paris Saint-Germain","€45.00m","Portugal"
"Gonçalo Inácio","23","Sporting CP","€45.00m","Portugal"
"Jonathan David","25","LOSC Lille","€45.00m","Canada"
"Kaoru Mitoma","27","Brighton & Hove Albion","€45.00m","Japan"
"Min-jae Kim","28","Bayern Munich","€45.00m","Korea, South"
"Lisandro Martínez","27","Manchester United","€45.00m","Argentina"
"Morten Hjulmand","25","Sporting CP","€45.00m","Denmark"
"Sandro Tonali","24","Newcastle United","€45.00m","Italy"
"Marc Guéhi","24","Crystal Palace","€45.00m","England"
"Alessandro Buongiorno","25","SSC Napoli","€45.00m","Italy"
"Sven Botman","25","Newcastle United","€45.00m","Netherlands"
"Dušan Vlahović","25","Juventus FC","€45.00m","Serbia"
"Christopher Nkunku","27","Chelsea FC","€45.00m","France"
"Diogo Jota","28","Liverpool FC","€45.00m","Portugal"
"Frenkie de Jong","27","FC Barcelona","€45.00m","Netherlands"
"Jarrod Bowen","28","West Ham United","€45.00m","England"
"Brahim Díaz","25","Real Madrid","€45.00m","Morocco"
"Dominic Solanke","27","Tottenham Hotspur","€45.00m","England"
"Bernardo Silva","30","Manchester City","€45.00m","Portugal"
"Dean Huijsen","19","AFC Bournemouth","€42.00m","Spain"
"Ousmane Diomande","21","Sporting CP","€40.00m","Cote d'Ivoire"
"Endrick","18","Real Madrid","€40.00m","Brazil"
"Hugo Larsson","20","Eintracht Frankfurt","€40.00m","Sweden"
"Mathys Tel","19","Tottenham Hotspur","€40.00m","France"
"Maghnes Akliouche","23","AS Monaco","€40.00m","France"
"João Gomes","24","Wolverhampton Wanderers","€40.00m","Brazil"
"Rico Lewis","20","Manchester City","€40.00m","England"
"Ilya Zabarnyi","22","AFC Bournemouth","€40.00m","Ukraine"
"Jhon Durán","21","Al-Nassr FC","€40.00m","Colombia"
"Roméo Lavia","21","Chelsea FC","€40.00m","Belgium"
"Pape Matar Sarr","22","Tottenham Hotspur","€40.00m","Senegal"
"Edmond Tapsoba","26","Bayer 04 Leverkusen","€40.00m","Burkina Faso"
"Amad Diallo","22","Manchester United","€40.00m","Cote d'Ivoire"
"Dani Vivian","25","Athletic Bilbao","€40.00m","Spain"
"Noni Madueke","23","Chelsea FC","€40.00m","England"
"Riccardo Calafiori","22","Arsenal FC","€40.00m","Italy"
"Karim Adeyemi","23","Borussia Dortmund","€40.00m","Germany"
"Conor Gallagher","25","Atlético de Madrid","€40.00m","England"
"Nico González","23","Manchester City","€40.00m","Spain"
"Khéphren Thuram","24","Juventus FC","€40.00m","France"
"Andrea Cambiaso","25","Juventus FC","€40.00m","Italy"
"Takefusa Kubo","23","Real Sociedad","€40.00m","Japan"
"Exequiel Palacios","26","Bayer 04 Leverkusen","€40.00m","Argentina"
"Éder Militão","27","Real Madrid","€40.00m","Brazil"
"Pau Torres","28","Aston Villa","€40.00m","Spain"
"Nico Schlotterbeck","25","Borussia Dortmund","€40.00m","Germany"
"Moise Kean","25","ACF Fiorentina","€40.00m","Italy"
"Gabriel Jesus","28","Arsenal FC","€40.00m","Brazil"
"Teun Koopmeiners","27","Juventus FC","€40.00m","Netherlands"
"Robin Le Normand","28","Atlético de Madrid","€40.00m","Spain"
"Theo Hernández","27","AC Milan","€40.00m","France"
"Joelinton","28","Newcastle United","€40.00m","Brazil"
"Matthijs de Ligt","25","Manchester United","€40.00m","Netherlands"
"Scott McTominay","28","SSC Napoli","€40.00m","Scotland"
"Serhou Guirassy","29","Borussia Dortmund","€40.00m","Guinea"
"David Raya","29","Arsenal FC","€40.00m","Spain"
"Gregor Kobel","27","Borussia Dortmund","€40.00m","Switzerland"
"João Palhinha","29","Bayern Munich","€40.00m","Portugal"
"Alejandro Grimaldo","29","Bayer 04 Leverkusen","€40.00m","Spain"
"Marquinhos","30","Paris Saint-Germain","€40.00m","Brazil"
"Douglas Luiz","26","Juventus FC","€38.00m","Brazil"
"Angelo Stiller","24","VfB Stuttgart","€38.00m","Germany"
"Charles De Ketelaere","24","Atalanta BC","€38.00m","Belgium"
"Boubacar Kamara","25","Aston Villa","€38.00m","France"
"Diogo Costa","25","FC Porto","€38.00m","Portugal"
"Leroy Sané","29","Bayern Munich","€38.00m","Germany"
"Santiago Gimenez","23","AC Milan","€37.00m","Mexico"
"Francisco Conceição","22","Juventus FC","€36.00m","Portugal"
"Carlos Baleba","21","Brighton & Hove Albion","€35.00m","Cameroon"
"Nico Paz","20","Como 1907","€35.00m","Argentina"
"Archie Gray","19","Tottenham Hotspur","€35.00m","England"
"Santiago Castro","20","Bologna FC 1909","€35.00m","Argentina"
"Abdukodir Khusanov","21","Manchester City","€35.00m","Uzbekistan"
"Alan Varela","23","FC Porto","€35.00m","Argentina"
"Adam Wharton","21","Crystal Palace","€35.00m","England"
"Milos Kerkez","21","AFC Bournemouth","€35.00m","Hungary"
"Evanilson","25","AFC Bournemouth","€35.00m","Brazil"
"Manu Koné","23","AS Roma","€35.00m","France"
"Malo Gusto","21","Chelsea FC","€35.00m","France"
"Liam Delap","22","Ipswich Town","€35.00m","England"
"Rayan Cherki","21","Olympique Lyon","€35.00m","France"
"Matheus Nunes","26","Manchester City","€35.00m","Portugal"
"Antoine Semenyo","25","AFC Bournemouth","€35.00m","Ghana"
"Anthony Elanga","22","Nottingham Forest","€35.00m","Sweden"
"Rayan Aït-Nouri","23","Wolverhampton Wanderers","€35.00m","Algeria"
"Giorgio Scalvini","21","Atalanta BC","€35.00m","Italy"
"Enzo Millot","22","VfB Stuttgart","€35.00m","France"
"Harvey Elliott","22","Liverpool FC","€35.00m","England"
"Johan Bakayoko","21","PSV Eindhoven","€35.00m","Belgium"
"Mason Greenwood","23","Olympique Marseille","€35.00m","England"
"Tino Livramento","22","Newcastle United","€35.00m","England"
"Lucas Paquetá","27","West Ham United","€35.00m","Brazil"
"Joshua Zirkzee","23","Manchester United","€35.00m","Netherlands"
"Ezri Konsa","27","Aston Villa","€35.00m","England"
"Moussa Diaby","25","Al-Ittihad Club","€35.00m","France"
"Diogo Dalot","26","Manchester United","€35.00m","Portugal"
"Fabián Ruiz","29","Paris Saint-Germain","€35.00m","Spain"
"Antonee Robinson","27","Fulham FC","€35.00m","United States"
"Mikel Merino","28","Arsenal FC","€35.00m","Spain"
"Jonathan Burkardt","24","1.FSV Mainz 05","€35.00m","Germany"
"Justin Kluivert","25","AFC Bournemouth","€35.00m","Netherlands"
"Gianluigi Donnarumma","26","Paris Saint-Germain","€35.00m","Italy"
"Guglielmo Vicario","28","Tottenham Hotspur","€35.00m","Italy"
"Youri Tielemans","27","Aston Villa","€35.00m","Belgium"
"Kingsley Coman","28","Bayern Munich","€35.00m","France"
"Jack Grealish","29","Manchester City","€35.00m","England"
"Hakan Çalhanoğlu","31","Inter Milan","€35.00m","Türkiye"
"Mohamed Amoura","24","VfL Wolfsburg","€32.00m","Algeria"
"António Silva","21","SL Benfica","€32.00m","Portugal"
"Evan Ferguson","20","West Ham United","€32.00m","Ireland"
"Georgiy Sudakov","22","Shakhtar Donetsk","€32.00m","Ukraine"
"Jan Paul van Hecke","24","Brighton & Hove Albion","€32.00m","Netherlands"
"Georginio Rutter","22","Brighton & Hove Albion","€32.00m","France"
"Tomás Araújo","22","SL Benfica","€32.00m","Portugal"
"Jacob Ramsey","23","Aston Villa","€32.00m","England"
"Mattéo Guendouzi","25","SS Lazio","€32.00m","France"
"Quinten Timber","23","Feyenoord Rotterdam","€32.00m","Netherlands"
"Dávid Hancko","27","Feyenoord Rotterdam","€32.00m","Slovakia"
"Davide Frattesi","25","Inter Milan","€32.00m","Italy"
"Emile Smith Rowe","24","Fulham FC","€32.00m","England"
"Leon Bailey","27","Aston Villa","€32.00m","Jamaica"
"Noussair Mazraoui","27","Manchester United","€32.00m","Morocco"
"Manuel Akanji","29","Manchester City","€32.00m","Switzerland"
"Joachim Andersen","28","Fulham FC","€32.00m","Denmark"
"André Onana","29","Manchester United","€32.00m","Cameroon"
"Nathan Aké","30","Manchester City","€32.00m","Netherlands"
"Ayyoub Bouaddi","17","LOSC Lille","€30.00m","France"
"Yankuba Minteh","20","Brighton & Hove Albion","€30.00m","The Gambia"
"Vitor Reis","19","Manchester City","€30.00m","Brazil"
"Raúl Asencio","22","Real Madrid","€30.00m","Spain"
"Jorrel Hato","19","Ajax Amsterdam","€30.00m","Netherlands"
"Eliesse Ben Seghir","20","AS Monaco","€30.00m","Morocco"
"Loïc Badé","25","Sevilla FC","€30.00m","France"
"Lewis Hall","20","Newcastle United","€30.00m","England"
"Simon Adingra","23","Brighton & Hove Albion","€30.00m","Cote d'Ivoire"
"Bilal El Khannouss","20","Leicester City","€30.00m","Morocco"
"Cristhian Mosquera","20","Valencia CF","€30.00m","Spain"
"Marc Casadó","21","FC Barcelona","€30.00m","Spain"
"Youssouf Fofana","26","AC Milan","€30.00m","France"
"Yéremy Pino","22","Villarreal CF","€30.00m","Spain"
"Elliot Anderson","22","Nottingham Forest","€30.00m","England"
"Kang-in Lee","24","Paris Saint-Germain","€30.00m","Korea, South"
"Cheick Doucouré","25","Crystal Palace","€30.00m","Mali"
"Mykhaylo Mudryk","24","Chelsea FC","€30.00m","Ukraine"
"Maximilian Kilman","27","West Ham United","€30.00m","England"
"Isak Hien","26","Atalanta BC","€30.00m","Sweden"
"Giorgi Mamardashvili","24","Valencia CF","€30.00m","Georgia"
"Randal Kolo Muani","26","Juventus FC","€30.00m","France"
"Reece James","25","Chelsea FC","€30.00m","England"
"David Neres","28","SSC Napoli","€30.00m","Brazil"
"Samuele Ricci","23","Torino FC","€30.00m","Italy"
"Malik Tillman","22","PSV Eindhoven","€30.00m","United States"
"Lucas Chevalier","23","LOSC Lille","€30.00m","France"
"Yann Bisseck","24","Inter Milan","€30.00m","Germany"
"Pedro Gonçalves","26","Sporting CP","€30.00m","Portugal"
"Jean-Philippe Mateta","27","Crystal Palace","€30.00m","France"
"Francisco Trincão","25","Sporting CP","€30.00m","Portugal"
"Edson Álvarez","27","West Ham United","€30.00m","Mexico"
"Jadon Sancho","25","Chelsea FC","€30.00m","England"
"Harvey Barnes","27","Newcastle United","€30.00m","England"
"Yoane Wissa","28","Brentford FC","€30.00m","DR Congo"
"Ferdi Kadıoğlu","25","Brighton & Hove Albion","€30.00m","Türkiye"
"Rodrigo Bentancur","27","Tottenham Hotspur","€30.00m","Uruguay"
"Hiroki Ito","25","Bayern Munich","€30.00m","Japan"
"Benjamin Pavard","29","Inter Milan","€30.00m","France"
"Mikel Oyarzabal","27","Real Sociedad","€30.00m","Spain"
"Pervis Estupiñán","27","Brighton & Hove Albion","€30.00m","Ecuador"
"Artem Dovbyk","27","AS Roma","€30.00m","Ukraine"
"Denis Zakaria","28","AS Monaco","€30.00m","Switzerland"
"Marc Cucurella","26","Chelsea FC","€30.00m","Spain"
"Lucas Hernández","29","Paris Saint-Germain","€30.00m","France"
"Jonathan Tah","29","Bayer 04 Leverkusen","€30.00m","Germany"
"John Stones","30","Manchester City","€30.00m","England"
"Leandro Trossard","30","Arsenal FC","€30.00m","Belgium"
"Heung-min Son","32","Tottenham Hotspur","€30.00m","Korea, South"
"Antonio Nusa","19","RB Leipzig","€28.00m","Norway"
"Myles Lewis-Skelly","18","Arsenal FC","€28.00m","England"
"Álvaro Carreras","22","SL Benfica","€28.00m","Spain"
"Danilo","23","Nottingham Forest","€28.00m","Brazil"
"Mohamed Simakan","24","Al-Nassr FC","€28.00m","France"
"Mario Gila","24","SS Lazio","€28.00m","Spain"
"Jean-Clair Todibo","25","West Ham United","€28.00m","France"
"Nicolò Rovella","23","SS Lazio","€28.00m","Italy"
"Nico González","27","Juventus FC","€28.00m","Argentina"
"Ian Maatsen","23","Aston Villa","€28.00m","Netherlands"
"Josip Stanisic","25","Bayern Munich","€28.00m","Croatia"
"Nathan Collins","23","Brentford FC","€28.00m","Ireland"
"Orkun Kökçü","24","SL Benfica","€28.00m","Türkiye"
"Matty Cash","27","Aston Villa","€28.00m","Poland"
"Nikola Milenković","27","Nottingham Forest","€28.00m","Serbia"
"Yves Bissouma","28","Tottenham Hotspur","€28.00m","Mali"
"Joey Veerman","26","PSV Eindhoven","€28.00m","Netherlands"
"Felix Nmecha","24","Borussia Dortmund","€28.00m","Germany"
"Vitaliy Mykolenko","25","Everton FC","€28.00m","Ukraine"
"Ferran Torres","25","FC Barcelona","€28.00m","Spain"
"Ibrahim Sangaré","27","Nottingham Forest","€28.00m","Cote d'Ivoire"
"Mason Mount","26","Manchester United","€28.00m","England"
"Joe Willock","25","Newcastle United","€28.00m","England"
"Vangelis Pavlidis","26","SL Benfica","€28.00m","Greece"
"Denzel Dumfries","28","Inter Milan","€28.00m","Netherlands"
"Brais Méndez","28","Real Sociedad","€28.00m","Spain"
"Marcos Llorente","30","Atlético de Madrid","€28.00m","Spain"
"Manuel Locatelli","27","Juventus FC","€28.00m","Italy"
"Unai Simón","27","Athletic Bilbao","€28.00m","Spain"
"Ivan Toney","29","Al-Ahli SFC","€28.00m","England"
"Rúben Neves","28","Al-Hilal SFC","€28.00m","Portugal"
"Virgil van Dijk","33","Liverpool FC","€28.00m","Netherlands"
"Joel Ordóñez","20","Club Brugge KV","€27.00m","Ecuador"
"Wesley Fofana","24","Chelsea FC","€27.00m","France"
"Brian Brobbey","23","Ajax Amsterdam","€27.00m","Netherlands"
"Kevin Schade","23","Brentford FC","€27.00m","Germany"
"Galeno","27","Al-Ahli SFC","€27.00m","Brazil"
"Jørgen Strand Larsen","25","Wolverhampton Wanderers","€27.00m","Norway"
"Lutsharel Geertruida","24","RB Leipzig","€27.00m","Netherlands"
"Mats Wieffer","25","Brighton & Hove Albion","€27.00m","Netherlands"
"Frank Anguissa","29","SSC Napoli","€27.00m","Cameroon"
"Patrik Schick","29","Bayer 04 Leverkusen","€27.00m","Czech Republic"
"Kevin De Bruyne","33","Manchester City","€27.00m","Belgium"
"Pierre Kalulu","24","Juventus FC","€26.00m","France"
"Zeno Debast","21","Sporting CP","€26.00m","Belgium"
"Assane Diao","19","Como 1907","€25.00m","Senegal"
"Patrick Dorgu","20","Manchester United","€25.00m","Denmark"
"Lucas Beraldo","21","Paris Saint-Germain","€25.00m","Brazil"
"Tyler Dibling","19","Southampton FC","€25.00m","England"
"Lucas Bergvall","19","Tottenham Hotspur","€25.00m","Sweden"
"Dango Ouattara","23","AFC Bournemouth","€25.00m","Burkina Faso"
"Tom Bischof","19","TSG 1899 Hoffenheim","€25.00m","Germany"
"André","23","Wolverhampton Wanderers","€25.00m","Brazil"
"Luiz Henrique","24","Zenit St. Petersburg","€25.00m","Brazil"
"Pietro Comuzzo","20","ACF Fiorentina","€25.00m","Italy"
"Andrey Santos","20","RC Strasbourg Alsace","€25.00m","Brazil"
"Malick Fofana","20","Olympique Lyon","€25.00m","Belgium"
"Giuliano Simeone","22","Atlético de Madrid","€25.00m","Argentina"
"Alberto Moleiro","21","UD Las Palmas","€25.00m","Spain"
"Tyrick Mitchell","25","Crystal Palace","€25.00m","England"
"Brajan Gruda","20","Brighton & Hove Albion","€25.00m","Germany"
"Samuel Lino","25","Atlético de Madrid","€25.00m","Brazil"
"Oscar Bobb","21","Manchester City","€25.00m","Norway"
"Elye Wahi","22","Eintracht Frankfurt","€25.00m","France"
"Igor Paixão","24","Feyenoord Rotterdam","€25.00m","Brazil"
"Wilfried Singo","24","AS Monaco","€25.00m","Cote d'Ivoire"
"Odilon Kossounou","24","Atalanta BC","€25.00m","Cote d'Ivoire"
"Conor Bradley","21","Liverpool FC","€25.00m","Northern Ireland"
"Ardon Jashari","22","Club Brugge KV","€25.00m","Switzerland"
"Toti","26","Wolverhampton Wanderers","€25.00m","Portugal"
"Leif Davis","25","Ipswich Town","€25.00m","England"
"Dwight McNeil","25","Everton FC","€25.00m","England"
"Maximilian Beier","22","Borussia Dortmund","€25.00m","Germany"
"Thiago Almada","23","Olympique Lyon","€25.00m","Argentina"
"Radu Drăgușin","23","Tottenham Hotspur","€25.00m","Romania"
"Mika Biereth","22","AS Monaco","€25.00m","Denmark"
"Bart Verbruggen","22","Brighton & Hove Albion","€25.00m","Netherlands"
"Mikkel Damsgaard","24","Brentford FC","€25.00m","Denmark"
"Anatoliy Trubin","23","SL Benfica","€25.00m","Ukraine"
"Nuno Tavares","25","SS Lazio","€25.00m","Portugal"
"Miguel Gutiérrez","23","Girona FC","€25.00m","Spain"
"Taty Castellanos","26","SS Lazio","€25.00m","Argentina"
"Pepê","28","FC Porto","€25.00m","Brazil"
"Federico Gatti","26","Juventus FC","€25.00m","Italy"
"Taylor Harwood-Bellis","23","Southampton FC","€25.00m","England"
"Evann Guessand","23","OGC Nice","€25.00m","Cote d'Ivoire"
"Edon Zhegrova","26","LOSC Lille","€25.00m","Kosovo"
"Daniel Muñoz","28","Crystal Palace","€25.00m","Colombia"
"Facundo Medina","25","RC Lens","€25.00m","Argentina"
"Bafodé Diakité","24","LOSC Lille","€25.00m","France"
"Benoît Badiashile","24","Chelsea FC","€25.00m","France"
"João Félix","25","AC Milan","€25.00m","Portugal"
"Calvin Bassey","25","Fulham FC","€25.00m","Nigeria"
"Marco Carnesecchi","24","Atalanta BC","€25.00m","Italy"
"Sam Beukema","26","Bologna FC 1909","€25.00m","Netherlands"
"Nahuel Molina","27","Atlético de Madrid","€25.00m","Argentina"
"Axel Disasi","27","Aston Villa","€25.00m","France"
"Richarlison","27","Tottenham Hotspur","€25.00m","Brazil"
"Evan Ndicka","25","AS Roma","€25.00m","Cote d'Ivoire"
"Dan Ndoye","24","Bologna FC 1909","€25.00m","Switzerland"
"Nayef Aguerd","29","Real Sociedad","€25.00m","Morocco"
"Jerdy Schouten","28","PSV Eindhoven","€25.00m","Netherlands"
"Gerson","27","CR Flamengo","€25.00m","Brazil"
"Noa Lang","25","PSV Eindhoven","€25.00m","Netherlands"
"Sander Berge","27","Fulham FC","€25.00m","Norway"
"Takehiro Tomiyasu","26","Arsenal FC","€25.00m","Japan"
"Donyell Malen","26","Aston Villa","€25.00m","Netherlands"
"Malcom","28","Al-Hilal SFC","€25.00m","Brazil"
"David Raum","26","RB Leipzig","€25.00m","Germany"
"Dodi Lukébakio","27","Sevilla FC","€25.00m","Belgium"
"Aleksandr Golovin","28","AS Monaco","€25.00m","Russia"
"Kevin Danso","26","Tottenham Hotspur","€25.00m","Austria"
"Joe Gomez","27","Liverpool FC","€25.00m","England"
"Rodrigo De Paul","30","Atlético de Madrid","€25.00m","Argentina"
"Alex Iwobi","28","Fulham FC","€25.00m","Nigeria"
"Alexander Sørloth","29","Atlético de Madrid","€25.00m","Norway"
"Ederson","31","Manchester City","€25.00m","Brazil"
"Konrad Laimer","27","Bayern Munich","€25.00m","Austria"
"Álex Remiro","30","Real Sociedad","€25.00m","Spain"
"Stanislav Lobotka","30","SSC Napoli","€25.00m","Slovakia"
"Julian Brandt","28","Borussia Dortmund","€25.00m","Germany"
"Adrien Rabiot","30","Olympique Marseille","€25.00m","France"
"Mike Maignan","29","AC Milan","€25.00m","France"
"Serge Gnabry","29","Bayern Munich","€25.00m","Germany"
"Jan Oblak","32","Atlético de Madrid","€25.00m","Slovenia"
"Emiliano Martínez","32","Aston Villa","€25.00m","Argentina"
"Thibaut Courtois","32","Real Madrid","€25.00m","Belgium"
"Alisson","32","Liverpool FC","€25.00m","Brazil"
"Mateo Kovacic","30","Manchester City","€25.00m","Croatia"
"Aleksandar Mitrović","30","Al-Hilal SFC","€25.00m","Serbia"
